City,Coordinates,Pollutant,Unit,Value,Last Updated,Country Label
Haute-Savoie,"45.9225095176583, 6.87000088259666",NO2,µg/m³,13.5,2023-02-27T06:00:00+01:00,France
Landes,"43.8960516305414, -0.490616689052445",NO2,µg/m³,7.7,2023-02-27T06:00:00+01:00,France
Saône-et-Loire,"46.3161001490074, 4.8399969866962",O3,µg/m³,64.5,2023-02-27T06:00:00+01:00,France
Corrèze,"45.260022389241, 1.75999727095265",PM10,µg/m³,3.1,2023-02-27T05:00:00+01:00,France
Yonne,"47.8005658610427, 3.57639077544232",O3,µg/m³,65.1,2023-02-27T06:00:00+01:00,France
Loire,"46.0411126454327, 4.0746593140849",O3,µg/m³,61.7,2023-02-27T06:00:00+01:00,France
Puy-de-Dôme,"45.7757153069085, 3.09625023923328",CO,µg/m³,228.0,2023-02-24T01:00:00+01:00,France
Haut-Rhin,"48.0746323989232, 7.35067142482333",NO2,µg/m³,15.8,2023-02-27T06:00:00+01:00,France
Meurthe-et-Moselle,"48.685827163516, 6.175109094566",NO2,µg/m³,7.3,2023-02-27T06:00:00+01:00,France
Haute-Savoie,"45.916947667929, 6.13555627260622",PM10,µg/m³,9.8,2022-12-20T14:00:00+01:00,France
Pas-de-Calais,"50.449166359944, 2.90000428226453",SO2,µg/m³,4.37,2017-06-15T16:00:00+02:00,France
Loire,"45.4752955881989, 4.51500448320744",NO2,µg/m³,14.9,2023-01-25T13:00:00+01:00,France
Savoie,"45.675001076592, 6.389725599095",NO2,µg/m³,9.8,2023-02-27T06:00:00+01:00,France
Alpes-de-Haute-Provence,"43.8353015894571, 5.78583314934565",PM10,µg/m³,4.6,2023-02-27T06:00:00+01:00,France
Eure-et-Loir,"48.3911695951651, 1.95562339037536",SO2,µg/m³,0.3,2023-02-27T06:00:00+01:00,France
Eure-et-Loir,"48.3911695951651, 1.95562339037536",O3,µg/m³,60.3,2023-02-27T06:00:00+01:00,France
Val-d'Oise,"49.0464107534682, 2.04305641697871",PM10,µg/m³,8.0,2023-02-27T05:00:00+01:00,France
Paris,"48.8372434509951, 2.39390243434443",NO2,µg/m³,20.6,2023-02-27T06:00:00+01:00,France
Finistère,"48.3996394541087, -4.46723207639797",PM10,µg/m³,14.8,2023-02-27T05:00:00+01:00,France
Bouches-du-Rhône,"43.6389642135529, 5.09999637937892",PM10,µg/m³,5.0,2023-02-27T06:00:00+01:00,France
Val-de-Marne,"48.8163672245725, 2.51750163428644",NO2,µg/m³,14.0,2023-02-27T06:00:00+01:00,France
Seine-Maritime,"49.5001706998316, 0.110903310031544",CO,µg/m³,482.0,2019-01-08T10:00:00+01:00,France
Essonne,"48.6409127739739, 2.26872219950238",NO2,µg/m³,24.0,2023-02-27T06:00:00+01:00,France
Var,"43.4378086826446, 6.7683924408099",PM2.5,µg/m³,4.7,2023-02-27T05:00:00+01:00,France
Reunion,"-20.9105850632935, 55.6190111532033",SO2,µg/m³,1.3,2023-02-27T04:00:00+01:00,France
French Guiana,"4.93784416911561, -52.3209364190869",PM2.5,µg/m³,7.9,2023-02-27T03:00:00+01:00,France
Nord,"50.6280389569951, 3.09031237520525",PM10,µg/m³,14.2,2022-01-01T01:00:00+01:00,France
Saône-et-Loire,"46.8022145735861, 4.41750134226911",NO2,µg/m³,10.53,2018-06-26T09:00:00+02:00,France
Charente,"45.6947249994633, -0.323361",O3,µg/m³,37.4,2019-06-03T10:00:00+02:00,France
Gironde,"44.9130559994632, -0.384444",O3,µg/m³,2.6,2019-01-16T08:00:00+01:00,France
